,Date,Start Time,Players,Win/Fail,Win Time,Completed,Happy,May give 5 star reviews,Picture,Game Master,Notes,
,5/7,1:00 PM,6,W,57,100,Y,Y,Y,Nate,,
,5/5,3:00 PM,9,W,55,100%,Y,Y,Y,Emily,,
,5/5,1:00 PM,6,F,,90%,Y,Y,Y,Emily,,
,5/5,11:00 AM,6,W,60,100%,Y,Y,Y,Emily,,
,5/4,5:00 PM,4,W,59,100%,Y,Y,Y,Emily,,
,5/3,5:00 PM,4,F,,90%,Y,Y,Y,Cordelia/Jack,,
,5/3,3:00 PM,7,,,,,,,Cordelia,,
,5/2,7:00 PM,4,F,,70%,Y,Y,Y,Jack,,
,5/2,3:00 PM,9,F,,70%,Y,Y,N,Beri,,
,4/30,1:00 PM,9,W,59,100%,y,y,y,nate,,
,4/28,5:00 PM,6,W,48,100%,Y,Y,Y,Cordelia,,
,4/28,3:00 PM,4,F,,90%,Y,Y,Y,Emily,,
,4/28,11:00 AM,5,W,35,100%,Y,Y,Y,Emily,,
,4/27,9:00 PM,4,W,59,100%,Y,Y,Y,Emily,,
,4/27,5:00 PM,8,F,,80%,Y,Y,Y,Emily,,
,4/27,3:00 PM,4,F,,50%,Y,Y,Y,Jack,,
,4.27,11:00 AM,4,F,,50%,Y,Y,Y,Jack,,
,4/26,9:00 PM,7,W,54,100%,Y,Y,Y,Jack,,
,4/25,3:00 PM,14,W,54:15:00,100,y,y,Y,Nate,,
,4/23,9:00 PM,3,F,,85%,Y,Y,N,Emily,,
,4/20,7:00 PM,12,W,58,100%,Y,Y,Y,Cordelia,,
,4/19,9:00 AM,7,F,,60%,Y,Y,Y,Jack,,
,4/19,1:00 PM,6,F,,90%,Y,Y,Y,Beri,,
,4/16,9:00 PM,6,F,,90%,Y,Y,Y,Emily,"Tried to log in to computer With all caps, and that didn't Work...",
,4/14,1:00 PM,6,W,49,100%,Y,Y,Y,Emily,Computer issues,
,4/13,7:00 PM,11,F,,70%,Y,Y,N,Beri,,
,4/13,1:00 PM,12,W,58,100%,Y,Y,Y,Jack,,
,4/13,11:00 AM,5,F,,70%,Y,Y,Y,Jack,,
,4/12,7:00 PM,9,F,,99%,Y,Y,Y,Emily,"Last puzzle didn't Work For them, discount For their next trip Was assigned in credits doc",
,4/11,5:00 PM,6,W,54,100%,Y,Y,N,Cordelia/Beri,,
,4/7,7:00 PM,7,W,,100%,Y,Y,N,Beri,,
,4/7,5:00 PM,4,F,,80%,Y,Y,Y,Beri,,
,4/6,7:00 PM,4,F,,30%,Y,Y,Y,Beri,,
,4/6,1:00 PM,7,F,,40%,Y,Y,Y,Jack,,
,4/5,7:00 PM,4,W,52,100%,Y,Y,Y,Emily,,
,4/5,5:00 PM,4,W,55,100%,Y,Y,Y,Cordelia/Emily,,
,4/4,9:00 PM,4,F,,70%,Y,Y,Y,Jack,,
,4/2,3:00 PM,12,F,,95,Y,Y,Y,Nate,,
,4/2,1:00 PM,3,F,,50,y,y,n,nate,,
,3/31,7:00 PM,6,F,,90%,Y,Y,Y,,,
,3/31,5:00 PM,4,F,,80%,Y,Y,Y,Jack,,
,3/31,3:00 PM,4,F,,80%,Y,Y,Y,Emily,,
,3/31,1:00 PM,11,W,55,100%,Y,Y,Y,Emily,,
,3/30,7:00 PM,6,W,55,100%,Y,Y,Y,Beri,,
,3/30,5:00 PM,6,F,,,Y,Y,N,Beri,,
,3/30,3:00 PM,6,F,,80%,Y,Y,Y,Jack,,
,3/29,9:00 PM,6,F,,90%,Y,Y,Y,Emily,,
,3/29,7:00 PM,6,W,57,100%,Y,Y,Y,Emily,,
,3/27,9:00 PM,6,W,50,100%,Y,Y,Y,Jack,,
,3/24,7:00 PM,7,F,,90%,Y,Y,Y,Jack,,
,3/24,3:00 PM,8,W,57,100%,Y,Y,Y,Emily,,
,3/24,1:00 PM,4,F,,70%,Y,Y,Y,Emily,"Group Was very late, given 45 mins in the room",
,3/24,11:00 AM,6,W,50,100%,Y,Y,Y,Emily,,
,3/23,9:00 PM,4,F,,99%,Y,Y,Y,Emily,,
,3/23,7:00 PM,7,F,,85%,Y,Y,Y,Emily,,
,3/23,5:00 PM,10,F,,70%,Y,Y,Y,Emily,,
,3/23,3:00 PM,9,F,,70%,Y,Y,Y,Jack,,
,3/23,1:00 PM,5,F,,90%,Y,Y,Y,Jack,,
,3/23,11:00 AM,5,F,,30%,Y,Y,Y,Jack,,
,3/22,9:00 PM,4,F,,95%,Y,Y,Y,Emily,,
,3/22,7:00 PM,6,F,,85%,Y,Y,Y,Emily,,
,3/22,3:30 PM,9,F,,85%,Y,Y,Y,Cordelia,,
,3/21,7:00 PM,11,W,52,100%,Y,Y,Y,Cordelia,,
,3/17,7:00 PM,5,F,,70%,Y,Y,Y,Jack,,
,3/16,9:00 PM,6,W,44,100%,Y,Y,Y,Cordelia,,
,3/16,3:00 PM,5,F,,40%,Y,Y,Y,Beri/Jack,,
,3/15,7:00 PM,4,F,,99%,Y,Y,Y,Jack,,
,3/14,9:00 PM,7,F,,90%,Y,Y,Y,Emily,,
,3/13,7:00 PM,9,F,,85%,Y,,Y,Beri,,
,3/10,3:00 PM,6,F,,85%,Y,Y,Y,,,
,3/10,1:00 PM,4,W,56,100%,Y,Y,Y,Emily,,
,3/9,5:00 PM,12,W,57,100%,Y,Y,Y,Beri/Emily,,
,3/9,3:00 PM,8,W,57,100%,Y,Y,Y,Jack/Beri,,
,3/9,1:00 PM,4,F,,80%,Y,Y,Y,Jack/Beri,,
,3/6,3:00 PM,8,F,,85%,Y,Y,Y,Emily,,
,3/5,7:00 PM,4,W,59,100%,Y,Y,Y,Beri,,
,3/5,3:00 PM,4,F,,70%,Y,Y,Y,Jack,,
,3/3,9:00 PM,8,W,57,100,y,y,y,nate,,
,3/3,7:00 PM,6,F,,95,y,y,y,nate,,
,3/3,5:00 PM,4,W,53,100,y,y,y,nate,,
,3/3,3:00 PM,9,F,,80%,Y,Y,Y,Jack,,
,3/3,1:00 PM,7,F,,80%,Y,Y,Y,Jack,,
,3/2,9:00 PM,4,W,55,100%,Y,Y,N,Emily,,
,3/2,7:00 PM,7,F,,85%,Y,Y,Y,Emily/Beri,,
,3/2,5:00 PM,7,F,,85%,Y,Y,Y,Emily/Beri,,
,3/2,3:00 PM,7,W,58,100%,Y,Y,Y,Beri/Jack,,
,3/1,7:00 PM,7,F,,80%,Y,Y,Y,Jack,,
,2/26,9:00 PM,7,F,,85%,Y,Y,Y,Beri,,
,2/24,7:00 PM,7,F,,80,y,y,n,nate,,
,2/24,1:00 PM,4,F,,80%,Y,Y,Y,Emily,,
,2/24,11:00 AM,10,F,,80%,Y,Y,Y,Emily,,
,2/23,7:00 PM,6,F,,90%,Y,Y,Y,Emily/Beri,,
,2/23,5:00 PM,5,F,,80%,Y,Y,Y,Emily/Beri,,
,2/23,3:00 PM,10,W,49,100%,Y,Y,Y,Jack/Beri,,
,2/22,3:00 PM,5,F,,50%,Y,Y,Y,Cordelia,,
,2/22,1:00 PM,4,F,,80%,Y,Y,Y,Cordelia,,
,2/12,9:00 PM,4,F,60,75%,Y,Y,Y,Ryan,,
,2/20,3:00 PM,7,F,,80,Y,Y,Y,Emily,,
,2/20,1:00 PM,4,F,,90,Y,Y,Y,Emily,,
,2/19,5:00 PM,5,F,,99%,Y,Y,Y,Jack/Beri,,
,2/17,7:00 PM,4,F,,75,y,y,y,nate,,
,2/17,3:00 PM,4,W,55,100%,Y,Y,Y,Emily,,
,2/16,9:00 PM,5,F,,95%,Y,Y,Y,Emily,,
,2/16,7:00 PM,4,F,,95%,Y,Y,Y,Emily,,
,2/16,5:00 PM,8,W,50,100%,Y,Y,Y,Emily,,
,2/16,1:00 PM,4,W,53,100%,Y,Y,Y,Jack,,
,2/15,9:00 PM,4,F,,50%,M,M,Y,Jack,,
,2/10,3:00 PM,6,F,,90,Y,Y,Y,Emily,,
,2/10,1:00 PM,6,F,,90,Y,Y,Y,Emily,,
,2/3,5:00 AM,6,W,54,100,Y,Y,Y,Nate,,
,2/2,7:00 PM,9,F,,99%,Y,Y,Y,Beri/Jack,,
,2/2,5:00 PM,5,F,,80%,Y,Y,Y,Beri/Jack,,
,2/2,3:00 PM,8,F,,85%,Y,Y,Y,Beri,,
,2/1,9:00 PM,4,F,,90%,Y,Y,Y,Jack,,
,2/1,5:00 PM,8,F,,90%,Y,Y,Y,Cordelia/Jack,,
,1/27,9:00 PM,11,W,48,100%,Y,Y,Y,Cordelia,,
,1/27,7:00 PM,5,F,,80%,Y,Y,Y,Cordelia,,
,1/27,5:00 PM,6,F,,92%,Y,Y,Y,Cordelia,,
,1/27,1:00 PM,11,F,,90%,Y,Y,Y,Ryan,Took pictures on personal phone.,
,1/26,9:00 PM,4,W,59,100%,Y,Y,Y,Emily,,
,1/26,7:00 PM,6,W,54,100%,Y,Y,Y,Beri/Emily,,
,1/26,5:00 PM,4,W,58,100%,Y,Y,Y,Beri/Emily,,
,1/26,3:00 PM,4,F,,60%,Y,Y,Y,Beri/Jack,,
,1/25,3:00 PM,7,F,,85%,Y,Y,N,Cordelia,Took pics on mother's phone,
,1/25,1:00 PM,13,F,,90%,Y,Y,Y,Cordelia,,
,1/24,5:00 PM,6,F,,85%,Y,Y,Y,Emily/Jack,,
,1/23,9:00 PM,4,F,,80%,Y,Y,Y,Cordelia,,
,1/23,7:00 PM,2,F,,85%,Y,Y,Y,Cordelia ,,
,1/20,9:00 PM,6,F,,70%,y,y,y,nate,,
,1/20,7:00 PM,4,F,,80%,y,y,n,Nate,,
,1/20,5:00 PM,5,F,,75%,y,y,y,nate,,
,1/19,3:00 PM,7,F,,60%,Y,Y,Y,Emily,,
,1/19,7:00 PM,9,W,57,100%,Y,Y,Y,Emily/Beri,,
,1/19,5:00 PM,5,F,,95%,Y,Y,N,Emily/Beri,,
,1/19,3:00 PM,5,F,,80%,Y,Y,Y,Jack,,
,1/19,3:00 PM,7,F,,80%,Y,Y,N,Beri,,
,1/19,11:00 AM,4,F,,90%,Y,Y,Y,Jack,,
,1/18,7:00 PM,9,F,,95%,Y,Y,Y,Emily,,
,1/13,9:00 PM,4,F,,30,Y,Y,Y,Nate,,
,1/13,7:00 PM,6,W,59,100,y,y,y,nate,,
,1/13,5:00 PM,7,F,,70,Y,Y,Y,Nate,,
,1/13,1:00 PM,5,F,60,80%,Y,Y,Y,Ryan,,
,1/13,11:00 AM,7,F,60,80%,Y,Y,Y,Ryan,,
,1/12,9:00 PM,5,F,,85%,Y,Y,Y,Emily,,
,1/12,7:00 PM,7,F,,85%,Y,Y,Y,Emiy/Beri,,
,1/12,5:00 PM,6,F,,95%,Y,Y,Y,Emily/Beri,,
,1/12,3:00 PM,7,F,,90%,Y,Y,Y,Jack/Beri,,
,1/12,1:00 PM,5,F,,90%,Y,Y,Y,Jack/Beri,,
,1/9,7:00 PM,4,F,,95%,Y,Y,Y,Jack,,
,1/9,9:00 PM,5,W,47,100%,Y,Y,Y,Cordelia,,
,1/9,3:00 PM,11,F,,98%,Y,Y,Y,Nate/Cordelia,,
,1/8,9:00 PM,4,F,,60%,Y,Y,Y,Cordelia,,
,1/8,7:00 PM,4,F,,98%,Y,Y,Y,Cordelia,,
,1/8,1:00 PM,8,F,,80%,Y,Y,Y,Jack,,
,1/6,5:00 AM,4,F,,85,Y,Y,Y,Nate,,
,1/5,7:00 PM,9,W,57,100%,Y,Y,Y,Emily,,
,1/5,1:00 PM,7,W,51,100%,Y,Y,Y,Jack,,
,1/4,9:00 PM,10,W,51,100%,Y,Y,Y,Jack,,
,1/4,1:00 PM,4,F,,90%,Y,Y,Y,Cordelia/Beri,,
,1/3,3:00 PM,4,F,60,80%,Y,Y,Y,Ryan,,
,12/30,9:00 PM,5,W,59,100,y,y,y,nate,,
,12/30,7:00 PM,4,F,,80,y,y,n,nate,,
,12/30,5:00 PM,4,F,,40,y,y,y,Nate,,
,12/30,3:00 PM,8,W,47,100%,Y,Y,Y,Ryan,,
,12/30,1:00 PM,8,W,57,100%,Y,Y,Y,Ryan,,
,12/29,7:00 PM,11,W,60,100%,Y,Y,Y,Emily,,
,12/29,5:00 PM,4,W,54,100%,Y,Y,Y,Emily,,
,12/29,3:00 PM,10,F,,80%,Y,Y,Y,Emily,,
,12/28,7:00 PM,4,W,59,100,Y,Y,Y,Ryan,,
,12/28,5:00 PM,6,W,56,100%,Y,Y,Y,Emily/Ryan,,
,12/28,3:00 PM,4,F,,70%,Y,Y,Y,Emily,,
,12/28,1:00 PM,10,W,59,100%,Y,Y,Y,Emily,,
,12/27,7:00 PM,5,F,,95%,Y,Y,Y,Emily,,
,12/27,5:00 PM,8,W,47,100%,Y,Y,Y,Emily,,
,12/27,3:00 PM,6,F,,75%,Y,Y,Y,Emily,,
,12/27,1:00 PM,12,F,,95%,Y,Y,Y,Emily,,
,12/26,7:00 PM,7,F,,90%,Y,Y,Y,Emily,Phone scan didn't Work,
,12/26,5:00 PM,8,F,,80%,Y,Y,Y,Emily,,
,12/26,3:00 PM,5,F,,80%,Y,Y,Y,Emily,,
,12/22,7:00 PM,7,F,,95%,Y,Y,Y,Emily,,
,12/22,3:00 PM,11,F,,80%,Y,Y,Y,Emily,,
,12/21,7:00 PM,4,F,,90%,Y,Y,Y,Emily,,
,12/21,3:00 PM,9,F,,90%,Y,Y,Y,Emily,,
,12/20,7:00 PM,4,F,,85%,Y,Y,Y,Emily,,
,12/18,3:00 PM,9,F,,95%,Y,Y,Y,Emily,,
,12/15,7:00 PM,6,F,,75%,Y,Y,N,Cordelia,,
,12/14,5:00 PM,8,W,59,100%,Y,Y,Y,Cordelia/Jack,,
,12/13,7:00 PM,4,F,,80%,Y,Y,Y,Jack,,
,12/13,5:00 PM,6,W,54,100%,Y,Y,Y,Ryan/Jack,,
,12/13,1:00 PM,7,F,60,,,,,,,
,12/9,7:00 PM,7,W,52,100,y,y,y,nate,,
,12/8,7:00 PM,8,F,,75%,Y,Y,Y,,,
,12/8,5:00 PM,4,F,,70%,Y,Y,Y,Cordelia,,
,12/8,3:00 PM,5,F,,80%,Y,Y,Y,Jack,,
,12/8,11:00 AM,4,F,,90%,Y,Y,Y,Jack,,
,12/7,9:00 PM,4,F,,70%,Y,Y,Y,Jack,,
,12/7,5:00 PM,6,F,,60%,Y,Y,Y,Cordelia/Jack,,
,12/5,7:00 PM,14,F,,,Y,Y,,Cordelia,,
,12/4,3:00 PM,7,,,,,,,,,
,12/4,1:00 PM,7,F,,80,Y,Y,Y,Emily,,
,12/2,7:00 PM,4,F,,75,y,y,n,Nate,,
,12/2,1:00 PM,7,F,,80%,Y,Y,Y,Cordelia,,
,12/2,11:00 AM,6,F,,65%,Y,Y,Y,Cordelia,,
,12/1,5:00 PM,8,F,,90%,Y,Y,Y,Emily,,
,12/1,3:00 PM,5,F,,20%,Y,Y,Y,Jack,,
,11/29,7:00 PM,8,W,54,100%,Y,Y,Y,Jack,,
,11/29,1:00 PM,11,F,60,95%,Y,N,Y,Ryan,,
,11/27,2:00 PM,10,F,,95%,,,,Emily,,
,,,,,,,,,,,,
,11/25,1:00 PM,4,F,,70%,Y,Y,N,Emily,,
,11/25,11:00 AM,4,F,,95%,Y,Y,Y,Emily,,
,11/24,7:00 PM,5,W,59,100%,Y,Y,Y,Ryan,,
,11/24,5:00 PM,3,F,,90%,Y,Y,Y,Ryan,,
,11/24,3:00 PM,6,W,43,100%,Y,Y,Y,Emily,,
,11/24,1:00 PM,11,F,,90%,Y,Y,N,Emily,,
,11/23,9:00 PM,6,F,,60%,y,y,n,Nate,,
,11/23,5:00 PM,6,F,,60%,Y,Y,Y,Nate,,
,11/23,3:00 PM,9,W,55,100%,Y,Y,N,Emily,photo just on phone,
,11/23,1:00 PM,9,F,,95%,Y,Y,Y,Emily,,
,11/21,7:00 PM,10,W,58,100%,Y,Y,Y,Cordelia,,
,11/21,1:00 PM,4,W,60,100%,Y,Y,Y,Emily,,
,11/20,1:00 PM,9,F,,70%,Y,Y,N,Emily,"group oF 10 year olds, please don't say yes When people ask to bring a group oF 10 year olds",
,11/18,7:00 PM,4,F,,65%,Y,Y,Y,Nate,,
,11/18,5:00 PM,4,F,,40%,y,y,y,Nate,,
,11/17,7:00 PM,8,W,55,100%,Y,Y,Y,Emily,,
,11/17,5:00 PM,9,W,61,100%,Y,Y,Y,Emily,,
,11/17,3:00 PM,5,F,,40%,Y,Y,Y,Jack,,
,11/16,9:00 PM,6,F,,90%,Y,Y,Y,Jack,,
,11/16,7:00 PM,6,F,,60%,Y,Y,Y,Jack,,
,11/16,5:00 PM,5,W,45,100%,Y,Y,Y,Cordelia/Jack,,
,11/16,2:30 PM,5,W,57,100%,Y,Y,Y,Cordelia,,
,11/15,4:00 PM,10,F,,95%,Y,Y,Y,Emily,,
,11/13,7:00 PM,4,W,48,100%,Y,Y,Y,Jack,,
,11/11,5:00 PM,7,W,49,100%,y,y,y,Nate,,
,11/11,3:00 PM,6,W,59,100%,Y,Y,Y,Ryan,,
,11/11,1:00 PM,7,W,49,100%,Y,Y,Y,Ryan,,
,11/11,11:00 AM,8,W,48,100%,Y,Y,Y,Ryan,"Was bothered by the Flashing lights, but Was able to accomodate them but turning oFF the Wire puzzle once it Was completed.",
,11/10,7:00 PM,6,F,,85%,Y,Y,Y,Emily,,
,11/10,5:00 PM,9,F,,75,Y,Y,Y,Emily,,
,11/10,3:00 PM,4,F,,95%,Y,Y,Y,Jack,,
,11/10,1:00 PM,11,W,55,100%,Y,Y,Y,Jack,,
,11/10,11:00 AM,7,F,,90%,Y,Y,Y,Jack,,
,11/9,8:00 PM,11,F,,90%,Y,Y,Y,Jack,,
,11/9,6:00 PM,9,F,,90%,Y,Y,Y,Jack,,
,11/4,9:00 PM,2,W,56,100%,Y,Y,Y,Jack,,
,11/4,3:00 PM,6,F,,85%,Y,Y,Y,Emily,,
,11/3,9:00 PM,10,F,,99%,Y,Y,Y,Emily,,
,11/3,7:00 PM,6,W,58,100%,Y,Y,Y,Emily,,
,11/3,5:00 PM,4,F,,70%,Y,Y,Y,Emily,Photo on phone,
,11/3,1:00 PM,4,F,,80%,Y,Y,Y,Cordelia,,
,11/2,7:00 PM,4,F,,90%,Y,Y,Y,Cordelia,,
,11/2,3:00 PM,9,F,,70%,Y,Y,Y,Jack,,
,11/1,3:00 PM,10,W,59,100%,Y,Y,Y,Ryan,,
,10/31,7:00 PM,12,W,45,100%,Y,Y,Y,Cordelia,,
,10/31,2:00 PM,12,F,,80%,M,Y,N,Emily,Group Was annoyed by the large number oF people in there For the size oF the room,
,10/30,1:00 PM,4,F,,95%,Y,Y,Y,Emily,,
,10/28,7:00 PM,5,F,,85%,,y,y,Nate/jack,,
,10/27,9:00 PM,4,F,,,Y,Y,N,Emily,,
,10/27,7:00 PM,6,F,,85%,Y,Y,Y,Emily,,
,10/27,3:00 PM,4,F,,70%,Y,Y,Y,Jack,,
,10/26,7:00 PM,8,F,,95%,Y,Y,Y,Emily,Given extra time to complete because unknoWn issues happened With cord/plug puzzle,
,10/26,5:00 PM,5,F,,95%,Y,Y,Y,Cordelia/Emily,,
,10/26,12:00 PM,8,F,,85%,Y,Y,Y,Ryan/Cordelia,Picture on their phone,
,10/23,1:00 PM,8,F,,95%,Y,Y,Y,Emily,,
,10/21,7:00 PM,4,F,,90%,Y,Y,Y,Jack,,
,10/21,5:00 PM,10,F,,90%,Y,Y,Y,Jack,,
,10/21,3:00 PM,5,W,59,100%,Y,Y,Y,Cordelia,,
,10/20,9:00 PM,4,F,,90%,Y,Y,Y,Emily,Phone only on their phone,
,10/20,5:00 PM,4,W,46,100%,Y,Y,Y,Emily,All returning players,
,10/20,3:00 PM,4,F,,60%,Y,M,N,Jack,,
,10/19,2:00 PM,10,W,59,100%,Y,Y,Y,Cordelia,,
,10/17,3:00 PM,5,,,,,,,Emily,,
,10/14,5:00 PM,4,F,,80%,Y,Y,Y,Jack,,
,10/13,9:00 PM,10,W,57,100%,Y,Y,Y,Jack,,
,10/13,7:00 PM,6,F,,90%,Y,Y,Y,Jack,,
,10/13,5:00 PM,4,F,,40%,Y,Y,Y,Jack,,
,10/13,3:00 PM,7,W,55,100%,Y,Y,Y,Cordelia,,
,10/12,9:00 PM,4,W,59,100%,Y,Y,Y,Ryan,,
,10/12,7:00 PM,6,W,49,100%,Y,Y,Y,Ryan,,
,10/11,7:00 PM,7,F,,85%,Y,Y,Y,Jack,,
,10/11,5:00 PM,2,F,,20%,M,N,N,Jack,,
,10/11,3:00 PM,12,W,53,100%,Y,Y,Y,Ryan,,
,10/11,1:00 PM,8,F,60,90%,Y,Y,Y,Ryan,,
,10/10,7:00 PM,9,W,44,100%,Y,Y,Y,,,
,10/10,2:00 PM,6,W,59,100%,Y,Y,Y,Emily,,
,10/7,5:00 PM,5,F,,90%,M,M,Y,Jack,,
,10/7,3:00 PM,5,F,,75%,M,Y,N,Ryan,,
,10/6,9:00 PM,5,F,,80%,Y,M,,Jack,,
,10/6,7:00 PM,10,W,50,100%,Y,Y,Y,Emily/Jack,,
,10/6,5:00 PM,8,W,55,100%,Y,Y,Y,Emily/Jack,,
,10/6,3:00 PM,5,W,46,100%,Y,Y,Y,Cordelia/Emily,,
,10/6,1:00 PM,5,W,60,100%,Y,Y,Y,Cordelia/Emily,,
,10/5,7:00 PM,8,F,,75%,Y,Y,N,Emily,,
,10/5,1:00 PM,4,W,38,100%,Y,Y,Y,Cordelia,,
,10/4,7:00 PM,8,W,50,100%,Y,Y,Y,Jack,,
,9/30,6:00 PM,8,F,,80%,Y,Y,Y,Jack,,
,9/29,9:00 PM,4,F,,90%,Y,Y,Y,Cordelia,,
,9/29,7:00 PM,4,W,59,100%,Y,Y,Y,Cordelia,,
,9/29,5:00 PM,8,W,59,100%,Y,Y,Y,Cordelia,,
,9/29,1:00 PM,6,W,54,100%,Y,Y,Y,Jack,,
,9/28,5:00 PM,6,F,,80%,Y,Y,Y,Cordelia/Emily,,
,9/23,3:00 PM,11,W,56,100%,Y,Y,Y,Ryan,,
,9/23,1:00 PM,4,W,47,100%,Y,Y,Y,Ryan,,
,9/22,9:00 PM,10,W,50,100%,Y,Y,Y,Ryan,,
,9/22,7:00 PM,5,W,57,100%,Y,Y,Y,Ryan,,
,9/22,5:00 PM,12,W,59,100%,Y,Y,Y,Ryan,,
,9/22,3:00 PM,5,W,59,100%,Y,Y,Y,Jack,somehoW unlocked the dorr Without escape code,
,9/22,11:00 AM,4,F,,70%,Y,Y,Y,Jack,,
,9/21,9:00 PM,3,F,,60%,Y,Y,N,Jack,,
,9/21,3:00 PM,6,F,,70%,Y,Y,Y,Cordelia,,
