,Date Played,Start Time,Players,Win/Fail,Win Time,Completion,Happy,May give 5 star review,Picture,Game master,Notes,
,4/19/2019,13:00,10,F,,98,Y,Y,N,Beri,,
,4/18/2019,7:00,3,F,,80,Y,Y,Y,Jack,,
,4/16/2019,21:00,5,F,,80,Y,Y,Y,Emily,,
,4/16/2019,19:00,4,W,58,100,Y,Y,Y,Emily,,
,4/14/2019,7:00,5,F,,75,Y,Y,Y,Cordelia,,
,4/14/2019,15:00,4,F,,80,Y,Y,Y,Emily,,
,4/13/2019,7:00,4,F,,70,Y,Y,N,Beri,,
,4/13/2019,4:00,12,W,54,100,Y,Y,Y,Jack/Beri,,
,4/12/2019,21:00,3,F,,60,Y,Y,Y,Emily,,
,4/12/2019,19:00,9,W,59,100,Y,Y,Y,Emily,,
,4/10/2019,5:00,4,F,,50,Y,Y,Y,Jack,,
,4/7/2019,17:00,5,F,,75,Y,Y,Y,Beri,,
,4/7/2019,15:00,8,F,51,80,Y,Y,Y,Emily,,
,4/6/2019,5:00,4,F,,30,Y,Y,Y,Beri,,
,4/6/2019,3:00,8,W,59,100,Y,Y,Y,Jack,,
,4/5/2019,5:00,7,W,59,100,Y,Y,Y,Cordelia/Emily,,
,4/2/2019,21:00,9,W,55,100,Y,Y,Y,Emily,,
,3/30/2019,7:00,7,F,,80,Y,Y,Y,Beri,,
,3/30/2019,5:00,9,F,,35,Y,Y,N,Beri,,
,3/30/2019,3:00,7,F,,50,Y,Y,Y,Jack,,
,3/29/2019,21:00,4,F,,95,Y,Y,Y,Emily,,
,3/29/2019,19:00,8,W,57,100,Y,Y,Y,Emily,,
,3/29/2019,13:00,11,F,,70,Y,Y,Y,Nate,,
,3/28/2019,21:00,5,F,,80,Y,Y,Y,Jack,,
,3/27/2019,21:00,4,F,,60,Y,Y,Y,Jack,,
,3/26/2019,17:00,6,F,62,100,Y,Y,Y,Emily/Jack,Given extra 2 minutes to Finish,
,3/24/2019,15:00,12,F,,75,Y,Y,Y,Emily,,
,3/24/2019,13:00,9,F,,95,Y,Y,Y,Emily,,
,3/23/2019,21:00,2,F,,60,Y,Y,Y,Emily,,
,3/23/2019,19:00,5,F,,80,Y,Y,Y,Emily,,
,3/22/2019,19:00,10,W,55,100,Y,Y,Y,Emily,,
,3/22/2019,15:00,10,W,37,100,Y,Y,Y,Cordelia,,
,3/21/2019,21:00,7,W,45,100,Y,Y,Y,Cordelia,,
,3/21/2019,19:00,4,F,,95,Y,Y,Y,Cordelia,,
,3/21/2019,1:00,6,F,,80,Y,Y,Y,Jack,,
,3/20/2019,7:00,7,F,,70,Y,Y,Y,Jack,,
,3/17/2019,9:00,3,F,,40,Y,Y,Y,Jack,,
,3/17/2019,3:00,9,W,51,100,y,y,y,Cordelia,,
,3/15/2019,9:00,8,F,,90,Y,Y,Y,Jack,,
,3/15/2019,13:00,5,W,55,100,Y,Y,Y,Cordelia,,
,3/13/2019,7:00,3,F,,70,Y,Y,Y,Beri,,
,3/12/2019,1:00,7,W,55,100,Y,Y,Y,Jack,,
,3/9/2019,21:00,6,W,58,100,Y,Y,Y,Emily,,
,3/9/2019,19:00,8,F,,80,Y,Y,Y,Beri/Emily,,
,3/9/2019,17:00,6,F,,60,Y,Y,N,Emily/Beri,,
,3/2/2019,21:00,2,F,,70,Y,Y,Y,Emily,,
,3/2/2019,19:00,7,F,,75,Y,Y,Y,Emily/Beri,,
,3/2/2019,1:00,7,F,,80,Y,Y,Y,Jack/Beri,,
,3/1/2019,9:00,6,F,,70,Y,Y,Y,Jack,,
,2/26/2019,19:00,9,W,46,100,Y,Y,Y,,,
,2/24/2019,19:00,4,F,,50,Y,Y,Y,Nate,,
,2/23/2019,19:00,6,W,55,100,Y,Y,Y,Emily/Beri,,
,2/23/2019,5:00,7,F,,80,Y,Y,Y,Beri/Emily,,
,2/23/2019,3:00,12,F,,60,Y,Y,N,Jack/Beri,,
,2/23/2019,1:00,4,F,,50,Y,Y,Y,Jack/Beri,,
,2/23/2019,11:00,10,W,56,100,Y,Y,Y,Jack,,
,2/22/2019,17:00,8,W,49,100,Y,Y,,Cordelia/Jack,,
,2/21/2019,5:00,8,W,59,100,Y,Y,Y,Jack/Ryan,,
,2/21/2019,1:00,7,F,,95,Y,Y,Y,Jack,,
,2/19/2019,7:00,7,F,,98,Y,Y,Y,Beri,,
,2/17/2019,7:00,7,F,,60,y,y,y,nate,,
,2/16/2019,19:00,5,F,,95,Y,Y,Y,Emily,,
,2/16/2019,5:00 PM,7,W,59,100,Y,Y,Y,Emily,,
,2/16/2019,3:00,4,W,38,100,Y,Y,Y,Jack,,
,2/16/2019,1:00,7,W,41,100,Y,Y,Y,Jack,,
,2/15/2019,9:00,7,F,,70,Y,Y,N,Jack,,
,2/7/2019,21:00,8,W,44,100,Y,Y,Y,Cordelia,,
,2/7/2019,1:00,10,F,,75,Y,Y,Y,Jack,,
,2/3/2019,15:00,4,F,,75,Y,Y,Y,Emily,,
,2/2/2019,7:00,5,W,30,100,Y,Y,Y,Beri/Jack,,
,2/2/2019,5:00,5,F,,85,Y,Y,Y,Beri/Jack,,
,2/2/2019,3:00,4,F,,80,Y,Y,N,Beri,reFused picture,
,2/1/2019,21:00,5,F,,85,Y,Y,Y,Jack,,
,1/31/2019,17:00,10,F,,85,Y,Y,Y,Jack,,
,1/29/2019,7:00,5,F,,60,Y,Y,Y,Beri,,
,1/29/2019,13:00,5,W,50,100,Y,Y,Y,Jack,,
,1/27/2019,19:00,8,W,56,100,Y,Y,Y,Cordelia,,
,1/26/2019,17:00,5,F,,85,Y,Y,Y,Beri/Emily,,
,1/26/2019,15:00,8,W,41,100,Y,Y,Y,Beri/Emily,,
,1/26/2019,11:00,2,F,,30,Y,Y,N,Jack,,
,1/25/2019,3:00 PM,10,W,54,100,Y,Y,Y,Cordelia,,
,1/22/2019,6:00 PM,6,W,54,100,Y,Y,Y,Beri,,
,1/20/2019,7:00 PM,4,F,,60,y,y,y,nate,,
,1/19/2019,1:00 PM,8,F,,80,Y,Y,Y,Emily,,
,1/19/2019,9:00 PM,8,F,,95,Y,Y,Y,Emily,,
,1/19/2019,7:00 PM,4,F,,95,Y,Y,Y,Emily/Beri,,
,1/19/2019,5:00 PM,5,F,,20,Y,Y,Y,Beri,,
,1/19/2019,3:00 PM,5,F,,70,Y,Y,Y,Jack,,
,1/17/2019,7:00 PM,9,F,,95,Y,Y,Y,Emily,Failed at bomb,
,1/17/2019,9:00 PM,4,F,,90,Y,Y,Y,Jack,,
,1/13/2019,7:00 PM,5,F,,80,y,y,n,nate,,
,1/12/2019,9:00 PM,10,F,,85,Y,Y,Y,Emily,,
,1/12/2019,7:00 PM,6,F,55,95,Y,Y,Y,Emily/Beri,Failed at bomb,
,1/12/2019,5:00 PM,3,W,58,100,Y,Y,Y,Emily/Beri,,
,1/12/2019,3:00 PM,6,F,,80,Y,Y,Y,Jack/Beri,,
,1/11/2019,9:00 PM,6,F,,60,M,M,Y,Jack,,
,1/11/2019,7:00 PM,7,F,,60,Y,Y,Y,Jack,,
,1/9/2019,3:00 PM,10,W,58,100,Y,Y,Y,Emily,,
,1/8/2019,1:00 PM,6,F,,40,Y,Y,Y,Jack,,
,1/6/2019,5:00 AM,8,F,,95,Y,Y,Y,Nate,,
,1/6/2019,3:00 PM,6,F,60,95,Y,Y,Y,Ryan,,
,1/5/2019,7:00 PM,7,W,53,100,Y,Y,Y,Emily,,
,1/5/2019,5:00 PM,9,W,39,100,Y,Y,Y,Emily,,
,1/5/2019,3:00 PM,3,F,,30,Y,Y,Y,Jack,,
,1/5/2019,1:00 PM,10,F,,90,Y,Y,Y,Jack,,
,1/4/2019,9:00 PM,5,F,,80,Y,Y,Y,Jack,,
,1/4/2019,7:00 PM,6,W,46,100,Y,Y,Y,Jack,,
,1/4/2019,5:00 PM,2,F,,85,Y,Y,Y,Cordelia/Jack,,
,1/4/2019,3:00 PM,5,F,,90,Y,Y,Y,Cordelia,,
,1/3/2019,9:00 PM,4,F,,95,Y,Y,Y,,,
,1/3/2019,7:00 PM,6,F,,70,Y,Y,Y,Jack,,
,1/3/2019,3:00 PM,5,F,60,85,Y,Y,Y,Ryan,,
,1/2/2019,7:00 PM,5,W,50,100,Y,Y,Y,Emily,,
,1/2/2019,5:00 PM,2,F,,30,Y,Y,N,Cordelia/Emily,,
,1/2/2019,1:00 PM,3,F,,80,Y,Y,N,Cordelia,,
,12/30,9:00 PM,4,F,,75,y,y,n,nate,,
,12/30,7:00 PM,5,F,,80,y,y,n,nate,,
,12/30,11:00 AM,6,F,60,98,Y,M,Y,Ryan,,
,12/29,7:00 PM,4,F,,75,Y,Y,N,Emily,,
,12/29,3:00 PM,7,F,,90,Y,Y,Y,Emily,,
,12/29,1:00 PM,4,F,,80,Y,Y,N,Emily,,
,12/28,9:00 PM,4,F,60,85,Y,Y,Y,Ryan,,
,12/28,7:00 PM,12,F,60,90,Y,Y,Y,Ryan,,
,12/28,3:00 PM,8,F,,100,Y,Y,Y,Emily,"Died @ bomb, but all puzzles completed",
,12/28,1:00 PM,4,W,54,100,Y,Y,Y,Emily,2nd attempt on bounes group,
,12/27,7:00 PM,6,F,,90,Y,Y,N,Emily,,
,12/27,3:00 PM,5,F,,90,Y,Y,Y,Emily,,
,12/27,1:00 PM,11,F,,90,Y,Y,Y,Emily,,
,12/26,5:00 PM,6,F,,80,Y,Y,Y,Emily,,
,12/26,3:00 PM,4,F,,70,Y,Y,Y,Emily,,
,12/23,7:00 PM,11,W,51,100,Y,Y,Y,Emily,,
,12/23,3:00 PM,5,W,49,100,Y,Y,Y,Emily,,
,12/22,7:00 PM,11,W,55,100,Y,Y,Y,Emily,,
,12/22,3:00 PM,7,W,45,100,Y,Y,Y,Emily,,
,12/22,1:00 PM,11,W,55,100,Y,Y,Y,Emily,,
,12/22,11:00 AM,10,W,51,100,Y,Y,Y,Emily,,
,12/21,7:00 PM,9,W,57,100,Y,Y,Y,Emily,,
,12/21,5:00 PM,5,F,,70,Y,Y,Y,Emily,,
,12/21,1:00 PM,10,F,,90,Y,Y,Y,Emily,,
,12/19,3:00 PM,4,F,,60,Y,Y,N,Emily,Interested in coming back For second attempt,
,12/18,7:00 PM,5,F,,80,Y,Y,Y,Jack,Projector not on When they entered study,
,12/18,5:00 PM,5,F,,40,Y,Y,Y,Emily/Jack,,
,12/18,3:00 PM,4,F,,80,Y,Y,Y,Emily,,
,12/18,1:00 PM,6,F,,70,Y,Y,Y,Emily,,
,12/16,7:00 PM,4,F,,75,Y,Y,Y,Nate,,
,12/16,5:00 PM,10,F,,70,y,Y,Y,Nate,,
,12/15,9:00 PM,5,F,,70,Y,Y,N,Cordelia,,
,12/15,1:00 PM,4,F,,30,Y,N,Y,Jack,,
,12/15,11:00 AM,6,W,59,100,Y,Y,Y,Jack,,
,12/14,9:00 PM,4,F,,90,Y,Y,Y,Jack,,
,12/14,2:00 PM,11,W,59,100,Y,Y,Y,Cordelia,,
,12/13,5:00 PM,6,F,,90,Y,Y,Y,Ryan/Jack,,
,12/13,3:00 PM,7,W,58,100,Y,Y,Y,Ryan,,
,12/13,1:00 PM,8,W,59,100,Y,Y,N,Ryan,,
,12/12,1:00 PM,9,W,55,100,Y,Y,Y,Cordelia,,
,12/8,7:00 PM,10,F,,85,Y,Y,Y,,,
,12/8,4:00 PM,13,F,,80,Y,Y,Y,Jack/Cordelia,,
,12/8,1:00 PM,6,F,,50,Y,Y,Y,Jack,,
,12/7,3:00 PM,6,F,,96,Y,Y,Y,Cordelia,,
,12/4,1:00 PM,8,F,,95,Y,Y,Y,Emily,,
,12/1,7:00 PM,12,F,,80,Y,Y,Y,Emily,,
,12/1,9:00 PM,6,W,50,100,Y,Y,Y,Emily,,
,12/1,3:00 PM,6,F,,60,Y,Y,Y,Jack,,
,11/30,9:00 PM,4,F,,80,Y,Y,Y,Jack,,
,11/30,7:00 PM,6,F,,90,Y,Y,Y,Jack,,
,11/30,5:00 PM,4,F,,30,Y,Y,Y,Cordelia/Jack,,
,11/29,7:00 PM,9,F,,70,Y,Y,Y,Jack,,
,11/27,2:00 PM,11,F,,80,,,,Emily,,
,11/25,7:00 PM,3,F,,50,Y,Y,N,Nate,,
,11/25,3:00 PM,10,F,,85,Y,Y,Y,Emily,,
,11/25,1:00 PM,4,F,,65,Y,Y,Y,Emily,,
,11/24,7:00 PM,8,F,,95,Y,Y,N,Ryan,,
,11/24,5:00 PM,8,F,,90,Y,Y,Y,Ryan,,
,11/24,1:00 PM,12,F,,90,Y,Y,N,Emily,,
,11/21,7:00 PM,4,F,,50,Y,Y,N,Cordelia,,
,11/21,3:00 PM,8,,,,,,,Emily,,
,11/20,5:00 PM,10,F,,95,Y,Y,Y,Jack,,
,11/20,1:00 PM,11,F,,60,Y,Y,N,Emily,"group oF 10 year olds, please don't say yes When people ask to bring a group oF 10 year olds",
,11/18,5:00 PM,6,F,,30,Y,Y,Y,Nate,,
,11/17,9:00 PM,4,F,,95,Y,Y,Y,Emily,,
,11/17,7:00 PM,8,F,,95,Y,Y,Y,Emily,,
,11/17,5:00 PM,8,W,40,100,Y,Y,Y,Emily,,
,11/17,3:00 PM,6,W,54,100,Y,Y,Y,Jack,,
,11/17,1:00 PM,12,W,,80,Y,Y,Y,Jack,got out With only 2 keys,
,11/16,9:00 PM,5,F,,90,Y,Y,Y,Jack,,
,11/16,7:00 PM,5,W,50,100,Y,Y,Y,Jack,,
,11/16,5:00 PM,4,F,,30,Y,Y,Y,Cordelia/Jack,,
,11/15,9:00 PM,10,10,51,100,Y,Y,Y,Jack,,
,11/15,6:00 PM,6,F,,80,Y,Y,Y,Jack,,
,11/14,3:00 PM,12,F,,95,Y,Y,Y,Emily,,
,11/11,5:00 PM,12,W,40,100,y,y,y,Nate,,
,11/11,3:00 PM,7,W,56,100,Y,Y,Y,Ryan,,
,11/10,9:00 PM,10,F,,90,Y,Y,N,Emily,,
,11/10,7:00 PM,10,F,,70,Y,Y,Y,Emily,,
,11/10,5:00 PM,5,F,,70,Y,Y,Y,Emily,,
,11/10,3:00 PM,5,F,,80,Y,Y,Y,Jack,,
,11/10,11:00 PM,4,F,,50,Y,Y,Y,Jack,,
,11/9,8:00 PM,11,F,,80,Y,Y,Y,Jack,,
,11/4,9:00 PM,7,F,,70,Y,Y,Y,Jack,,
,11/4,7:00 PM,5,F,,80,Y,Y,Y,Jack,,
,11/4,3:00 PM,7,W,50,100,Y,Y,Y,Emily,,
,11/3,9:00 PM,12,W,34,100,Y,Y,Y,Emily,,
,11/3,7:00 PM,4,F,,70,Y,Y,Y,Emily,,
,11/3,5:00 PM,9,W,46,100,Y,Y,Y,Emily,,
,11/3,3:00 PM,5,F,,80,Y,Y,N,Cordelia,,
,11/2,8:00 PM,10,F,,85,Y,Y,Y,Cordelia,,
,11/2,1:00 PM,8,F,,80,Y,Y,Y,Jack,,
,10/30,7:00 PM,7,F,,90,Y,Y,Y,Jack,,
,10/28,1:00 PM,5,W,57,100,Y,Y,Y,Ryan,,
,10/28,11:00 AM,5,W,58,100,Y,Y,Y,Ryan,,
,10/27,9:00 PM,4,F,,75,Y,Y,Y,Emily,,
,10/27,7:00 PM,6,F,,90,M,M,N,Emily,Died at bomb,
,10/27,5:00 PM,8,F,,85,Y,Y,Y,Emily/Jack,Photo on their phone only since it Was a group oF kids,
,10/27,3:00 PM,5,F,,60,Y,Y,Y,Jack,,
,10/27,1:00 PM,6,F,,95,Y,Y,Y,Jack,,
,10/26,12:00 PM,8,F,,85,Y,Y,Y,Ryan/Cordelia ,Picture Was on there phone,
,10/24,5:00 PM,10,W,51,100,Y,Y,Y,Emily/Cordelia,,
,10/23,9:00 PM,8,W,57,100,Y,Y,Y,Jack,,
,10/21,7:00 PM,3,F,,70,Y,Y,Y,Jack,,
,10/21,3:00 PM,7,F,,90,Y,Y,Y,Cordelia,,
,10/20,9:00 PM,5,W,56,100,Y,Y,Y,Emily,,
,10/20,7:00 PM,5,W,59,100,Y,Y,Y,Emily,,
,10/20,5:00 PM,7,F,,90,Y,Y,Y,Emily,,
,10/20,3:00 PM,4,W,48,100,Y,Y,Y,Jack,,
,10/19,9:00 PM,11,W,49,100,Y,Y,Y,Emily,,
,10/19,7:00 PM,8,W,59,100,Y,Y,Y,Emily,,
,10/18,3:00 PM,8,W,56,100,Y,Y,Y,Ryan,,
,10/14,9:00 PM,4,F,,90,Y,Y,Y,Jack,,
,10/14,3:00 PM,4,F,60,80,Y,Y,Y,Ryan,,
,10/13,9:00 PM,7,F,,80,Y,Y,Y,Jack,,
,10/13,7:00 PM,6,W,60,100,Y,Y,Y,Jack,,
,10/13,5:00 PM,5,W,47,100,Y,Y,Y,Jack,,
,10/13,3:00 PM,5,F,,60,y,y,y,Cordelia,,
,10/12,7:00 PM,5,F,60,80,Y,Y,Y,Ryan,,
,10/10,2:00 PM,5,W,55,100,Y,Y,Y,Emily,,
,10/6,9:00 PM,8,F,,40,M,M,Y,Jack,,
,10/6,1:00 PM,4,W,40,100,Y,Y,Y,Cordelia/Emily,,
,10/4,7:00 PM,6,W,54,100,Y,Y,Y,Jack,,
,10/3,5:00 PM,2,F,60,70,Y,Y,N,Ryan,,
,9/30,6:00 PM,10,F,,50,Y,Y,Y,Jack,,
,9/29,7:00 PM,4,F,,50,Y,Y,N,Cordelia,,
,9/29,1:00 PM,5,F,,80,Y,Y,Y,Jack,,
,9/27,9:00 PM,3,F,,60,M,N,N,Jack,,
,9/23,5:00 PM,4,F,,60,Y,Y,Y,Jack,,
,9/22,7:00 PM,6,F,60,95,Y,Y,Y,Ryan,,
,9/22,5:00 PM,8,F,60,90,Y,Y,Y,Ryan,,
,9/22,3:00 PM,6,F,,50,Y,Y,Y,Jack,,
,9/21,9:00 PM,2,W,55,100,Y,Y,Y,Jack,,
,9/21,3:00 PM,10,W,42,100,Y,Y,Y,Cordelia ,,
,9/21,1:00 PM,8,W,43,100,Y,Y,Y,Cordelia,,
,9/20,7:00 PM,12,F,,75,Y,Y,Y,Jack,,
,9/19,7:00 PM,4,F,,50,Y,Y,N,Jack,,
,9/19,1:00 PM,9,W,50,100,Y,Y,Y,Cordelia,,
,9/18,7:00 PM,6,F,,90,Y,Y,Y,Jack,,
,9/18,3:00 PM,9,W,60,100,Y,Y,Y,Cordelia,,
,9/16,5:00 PM,4,F,,40,Y,Y,Y,Jack,,
,9/16,3:00 PM,9,W,54,100,Y,Y,Y,Emily,,
,9/16,1:00 PM,8,W,55,100,Y,Y,Y,Emily,,
,9/15,7:00 PM,4,F,,75,Y,Y,Y,Emily/Ryan,,
,9/15,3:00 PM,8,W,55,100,Y,Y,Y,Cordelia,,
,9/15,1:00 PM,2,F,,45,Y,Y,Y,Cordelia,,
,9/14,9:00 PM,5,F,,80,Y,Y,N,Emily,Picture just on their phone,
,9/14,5:00 PM,3,F,,95,Y,Y,Y,Cordelia/Emily,,
,9/12,7:00 PM,6,W,36,100,Y,Y,Y,Cordelia,,
,9/9,1:00 PM,6,F,,80,Y,Y,N,Emily,,
,9/8,7:00 PM,5,F,,40,Y,Y,Y,Emily/Jack,,
,9/8,5:00 PM,9,F,,90,Y,Y,Y,Emily/Jack,,
,9/8,3:00 PM,4,F,,80,Y,Y,Y,Cordelia/Emily,,
,9/7,1:00 PM,4,F,,85,Y,Y,Y,Emily,,
,9/6,1:00 PM,9,F,57,90,Y,Y,Y,Ryan,,
,9/2,1:00 PM,5,W,59,100,Y,Y,Y,Ryan,,
,9/1,9:00 PM,6,F,,40,Y,Y,Y,Jack,,
,9/1,5:00 PM,7,F,,80,Y,Y,Y,Jack,,
,8/31,7:00 PM,9,W,51,100,Y,Y,Y,Jack,,
